event_id,system,forecast,prior,oracle_posterior,outcome,oracle_squared_error,oracle_absolute_error,brier,log_loss,scheduled_calls,inference_attempts,prompt_tokens,output_tokens,path_total_movement,ensemble_standard_deviation,market_total_realized_profit
1,prior,0.6,0.6,0.9727891156462586,1,0.13897172474431957,0.3727891156462586,0.16000000000000003,0.5108256237659907,0,0,0,0,,,
1,oracle_bayes,0.9727891156462586,0.6,0.9727891156462586,1,0.0,0.0,0.0007404322273126894,0.02758795651882894,0,0,0,0,,,
1,central,0.968,0.6,0.9727891156462586,1,2.293562867323905e-05,0.004789115646258613,0.001024000000000002,0.03252319170556006,5,5,1811,288,0.368,,
1,ensemble_mean,0.7604,0.6,0.9727891156462586,1,0.045109136444999816,0.21238911564625862,0.057408160000000014,0.273910668367863,5,5,1268,229,,0.02060679499582603,
1,ensemble_log_pool,0.9847737117946574,0.6,0.9727891156462586,1,0.00014363054484021687,0.011984596148398863,0.00023183985251215374,0.015343398421617974,5,5,1268,229,,0.02060679499582603,
1,market,0.89,0.6,0.9727891156462586,1,0.006854037669489576,0.08278911564625857,0.012099999999999998,0.11653381625595151,5,5,2149,214,0.29000000000000004,,0.3942918075100392
2,prior,0.5,0.5,0.12359550561797751,0,0.141680343390986,0.3764044943820225,0.25,0.6931471805599453,0,0,0,0,,,
2,oracle_bayes,0.12359550561797751,0.5,0.12359550561797751,0,0.0,0.0,0.01527584900896351,0.13192754304254806,0,0,0,0,,,
2,central,0.41,0.5,0.12359550561797751,0,0.08202753440222195,0.2864044943820225,0.16809999999999997,0.5276327420823718,5,5,1790,260,0.47000000000000003,,
2,ensemble_mean,0.55738,0.5,0.12359550561797751,0,0.1881689875662669,0.4337844943820225,0.31067246439999996,0.8150436648578712,5,5,1268,222,,0.09663428791065831,
2,ensemble_log_pool,0.7686375029712202,0.5,0.12359550561797751,0,0.41607917834946084,0.6450419973532427,0.5908036109738326,1.4637695472415744,5,5,1268,222,,0.09663428791065831,
2,market,0.58,0.5,0.12359550561797751,0,0.20830506249210956,0.45640449438202246,0.3364,0.867500567704723,5,5,2156,229,0.5499999999999999,,-0.17435338714477766
3,prior,0.5,0.5,0.18595825426944965,1,0.09862221806149163,0.3140417457305503,0.25,0.6931471805599453,0,0,0,0,,,
3,oracle_bayes,0.18595825426944965,0.5,0.18595825426944965,1,0.0,0.0,0.662663963792042,1.6822330698707908,0,0,0,0,,,
3,central,0.62,0.5,0.18595825426944965,1,0.1883922370368237,0.4340417457305503,0.1444,0.4780358009429998,5,5,1816,306,0.31999999999999984,,
3,ensemble_mean,0.55872,0.5,0.18595825426944965,1,0.13895131908008745,0.3727617457305503,0.1947280384,0.5821068257709544,5,5,1268,208,,0.12131180321798865,
3,ensemble_log_pool,0.7878255350941094,0.5,0.18595825426944965,1,0.3622442237272698,0.6018672808246597,0.045018003558101025,0.2384786158021713,5,5,1268,208,,0.12131180321798865,
3,market,0.47,0.5,0.18595825426944965,1,0.0806797133176586,0.2840417457305503,0.28090000000000004,0.7550225842780328,5,5,2149,224,0.43000000000000005,,-0.06187540371808753
4,prior,0.5,0.5,0.7543736878936319,1,0.06470597309260685,0.2543736878936319,0.25,0.6931471805599453,0,0,0,0,,,
4,oracle_bayes,0.7543736878936319,0.5,0.7543736878936319,1,0.0,0.0,0.06033228519897495,0.28186742646092494,0,0,0,0,,,
4,central,0.682,0.5,0.7543736878936319,1,0.005237950699324834,0.07237368789363186,0.10112399999999996,0.38272562113867487,5,5,1832,321,0.30199999999999994,,
4,ensemble_mean,0.6468,0.5,0.7543736878936319,1,0.011572098327036519,0.10757368789363186,0.12475023999999997,0.43571815127918523,5,5,1268,207,,0.0787969542558594,
4,ensemble_log_pool,0.9578235143433989,0.5,0.7543736878936319,1,0.04139183188244029,0.20344982644976695,0.0017788559423414824,0.04309174100601408,5,5,1268,207,,0.0787969542558594,
4,market,0.82,0.5,0.7543736878936319,1,0.004306812840682429,0.06562631210636805,0.03240000000000002,0.19845093872383832,5,5,2149,224,0.4999999999999998,,0.49469624183610694
5,prior,0.6,0.6,0.43534057255676184,0,0.027112727045935005,0.16465942744323814,0.36,0.916290731874155,0,0,0,0,,,
5,oracle_bayes,0.43534057255676184,0.6,0.43534057255676184,0,0.0,0.0,0.1895214141140492,0.5715325128688851,0,0,0,0,,,
5,central,0.54,0.6,0.43534057255676184,0,0.01095359575274644,0.1046594274432382,0.2916,0.7765287894989964,5,5,1838,330,0.2600000000000001,,
5,ensemble_mean,0.642,0.6,0.43534057255676184,0,0.04270811895116702,0.20665942744323818,0.41216400000000003,1.0272222925814367,5,5,1268,211,,0.09662297863344929,
5,ensemble_log_pool,0.8098811842353093,0.6,0.43534057255676184,0,0.1402806697965405,0.37454061167854746,0.655907532578387,1.6601060561391137,5,5,1268,211,,0.09662297863344929,
5,market,0.74,0.6,0.43534057255676184,0,0.09281736673004169,0.30465942744323815,0.5476,1.3470736479666092,5,5,2151,187,0.38,,-0.4307829160924542
6,prior,0.3,0.3,0.872410936205468,1,0.32765427988762025,0.5724109362054679,0.48999999999999994,1.2039728043259361,0,0,0,0,,,
6,oracle_bayes,0.872410936205468,0.3,0.872410936205468,1,0.0,0.0,0.01627896919996517,0.13649470896355617,0,0,0,0,,,
6,central,0.78,0.3,0.872410936205468,1,0.008539781130371061,0.09241093620546792,0.04839999999999999,0.2484613592984996,5,5,1796,255,0.8199999999999998,,
6,ensemble_mean,0.56,0.3,0.872410936205468,1,0.09760059306077692,0.3124109362054679,0.19359999999999997,0.579818495252942,5,5,1268,206,,0.10276186062932105,
6,ensemble_log_pool,0.99,0.3,0.872410936205468,1,0.013827187924074526,0.11758906379453204,0.00010000000000000018,0.01005033585350145,5,5,1268,206,,0.10276186062932105,
6,market,0.67,0.3,0.872410936205468,1,0.040970187095574,0.2024109362054679,0.10889999999999997,0.40047756659712525,5,5,2146,219,0.6699999999999999,,0.8034952377288109
7,prior,0.6,0.6,0.7447916666666667,1,0.020964626736111137,0.14479166666666676,0.16000000000000003,0.5108256237659907,0,0,0,0,,,
7,oracle_bayes,0.7447916666666667,0.6,0.7447916666666667,1,0.0,0.0,0.06513129340277773,0.29465074176787415,0,0,0,0,,,
7,central,0.68,0.6,0.7447916666666667,1,0.004197960069444447,0.06479166666666669,0.10239999999999996,0.3856624808119846,5,5,1803,276,0.43999999999999995,,
7,ensemble_mean,0.6887,0.6,0.7447916666666667,1,0.003146275069444455,0.05609166666666676,0.09690769000000002,0.37294951643148455,5,5,1268,226,,0.1039796133864711,
7,ensemble_log_pool,0.9292026159750965,0.6,0.7447916666666667,1,0.034007398224836234,0.18441094930842972,0.005012269584769667,0.07342846279163621,5,5,1268,226,,0.1039796133864711,
7,market,0.66,0.6,0.7447916666666667,1,0.007189626736111118,0.08479166666666671,0.11559999999999998,0.4155154439616658,5,5,2151,196,0.5599999999999998,,0.09531017980432491
8,prior,0.4,0.4,0.9140624999999999,1,0.26426025390624985,0.5140624999999999,0.36,0.916290731874155,0,0,0,0,,,
8,oracle_bayes,0.9140624999999999,0.4,0.9140624999999999,1,0.0,0.0,0.007385253906250019,0.08985632912186117,0,0,0,0,,,
8,central,0.82,0.4,0.9140624999999999,1,0.008847753906249988,0.09406249999999994,0.03240000000000002,0.19845093872383832,5,5,1811,287,0.56,,
8,ensemble_mean,0.5863200000000001,0.4,0.9140624999999999,1,0.10741514630624989,0.3277424999999998,0.17113114239999994,0.5338895633645422,5,5,1268,214,,0.11437766215481064,
8,ensemble_log_pool,0.9677743852209693,0.4,0.9140624999999999,1,0.0028849666139905876,0.05371188522096937,0.0010384902478864845,0.032756291990153966,5,5,1268,214,,0.11437766215481064,
8,market,0.82,0.4,0.9140624999999999,1,0.008847753906249988,0.09406249999999994,0.03240000000000002,0.19845093872383832,5,5,2151,198,0.6199999999999999,,0.7178397931503167
9,prior,0.4,0.4,0.0879864636209814,0,0.09735244688374119,0.31201353637901863,0.16000000000000003,0.5108256237659907,0,0,0,0,,,
9,oracle_bayes,0.0879864636209814,0.4,0.0879864636209814,0,0.0,0.0,0.007741617780526284,0.09210044649710104,0,0,0,0,,,
9,central,0.43,0.4,0.0879864636209814,0,0.11697325906648227,0.3420135363790186,0.18489999999999998,0.5621189181535411,5,5,1793,269,0.39,,
9,ensemble_mean,0.5226,0.4,0.0879864636209814,0,0.1888889260038765,0.43461353637901856,0.27311075999999995,0.7394005650774073,5,5,1268,206,,0.09641078777813196,
9,ensemble_log_pool,0.8873079979502094,0.4,0.0879864636209814,0,0.6389149152424313,0.799321534329228,0.7873154832264089,2.183096827182343,5,5,1268,206,,0.09641078777813196,
9,market,0.42,0.4,0.0879864636209814,0,0.1102329883389019,0.3320135363790186,0.17639999999999997,0.5447271754416719,5,5,2150,213,0.32,,-0.03390155167568121
10,prior,0.3,0.3,0.8194842406876791,1,0.2698638763228546,0.5194842406876792,0.48999999999999994,1.2039728043259361,0,0,0,0,,,
10,oracle_bayes,0.8194842406876791,0.3,0.8194842406876791,1,0.0,0.0,0.03258593936010377,0.19908011138257453,0,0,0,0,,,
10,central,0.78,0.3,0.8194842406876791,1,0.0015590052626825726,0.039484240687679084,0.04839999999999999,0.2484613592984996,5,5,1836,329,0.6599999999999999,,
10,ensemble_mean,0.559,0.3,0.8194842406876791,1,0.06785203964663672,0.26048424068767906,0.19448099999999996,0.5816058058270378,5,5,1273,201,,0.08357032966310472,
10,ensemble_log_pool,0.99,0.3,0.8194842406876791,1,0.029075624173857346,0.17051575931232088,0.00010000000000000018,0.01005033585350145,5,5,1273,201,,0.08357032966310472,
10,market,0.77,0.3,0.8194842406876791,1,0.002448690076436155,0.04948424068767909,0.05289999999999999,0.2613647641344075,5,5,2152,201,0.5899999999999999,,0.9426080401915287
11,prior,0.6,0.6,0.6614321608040201,0,0.0037739103810509886,0.06143216080402014,0.36,0.916290731874155,0,0,0,0,,,
11,oracle_bayes,0.6614321608040201,0.6,0.6614321608040201,0,0.0,0.0,0.43749250334587514,1.0830307954953313,0,0,0,0,,,
11,central,0.58,0.6,0.6614321608040201,0,0.006631196813211797,0.08143216080402016,0.3364,0.867500567704723,5,5,1823,294,0.3859999999999999,,
11,ensemble_mean,0.644,0.6,0.6614321608040201,0,0.0003038802302972148,0.017432160804020103,0.41473600000000005,1.0328245481301066,5,5,1273,209,,0.10326664514740469,
