event_id,cell_id,condition,position,actor_id,generation_seed,probability,reason,attempts,elapsed_seconds,prompt_tokens,output_tokens
1,prior_0.6_signals_01111,central_full,1,central_full_analyst,1648057499,0.78,Signal increases probability from prior,1,32.655341100064106,291,17
1,prior_0.6_signals_01111,central_full,2,central_full_analyst,681571721,0.81,Two reliable signals support YES.,1,7.552989299991168,314,18
1,prior_0.6_signals_01111,central_full,3,central_full_analyst,1151616864,0.68,Signals update prior with reliability weights,1,6.461479299934581,334,18
1,prior_0.6_signals_01111,central_full,4,central_full_analyst,1609790262,0.69,Signals update prior with moderate reliability,1,6.865167300100438,353,18
1,prior_0.6_signals_01111,central_full,5,central_full_analyst,332254860,0.76,Multiple YES signals outweigh NO signal.,1,7.3116849999642,373,19
1,prior_0.6_signals_01111,central_compact,1,central_compact_analyst,1648057499,0.67,Signal increases probability by 0.07.,1,7.464461699943058,304,22
1,prior_0.6_signals_01111,central_compact,2,central_compact_analyst,681571721,0.74,Signal increases probability from 0.67 to 0.74.,1,7.332231700071134,333,28
1,prior_0.6_signals_01111,central_compact,3,central_compact_analyst,1151616864,0.69,New signal slightly lowers probability,1,6.724617499974556,362,17
1,prior_0.6_signals_01111,central_compact,4,central_compact_analyst,1609790262,0.73,Signal increases probability due to reliability,1,7.425698500010185,390,18
1,prior_0.6_signals_01111,central_compact,5,central_compact_analyst,332254860,0.76,Signal increases probability by 0.03,1,8.210159300011583,419,21
1,prior_0.6_signals_01111,market,1,agent_4,1648057499,0.72,Signal updates prior with reliability,1,6.944780899910256,312,17
1,prior_0.6_signals_01111,market,2,agent_5,681571721,0.77,Signal increases probability by 0.05,1,6.571723300032318,341,21
1,prior_0.6_signals_01111,market,3,agent_1,1151616864,0.68,Signal weakens public probability,1,6.729717799928039,370,17
1,prior_0.6_signals_01111,market,4,agent_2,1609790262,0.74,Signal updates prior with reliability-adjusted evidence.,1,7.737079500104301,398,21
1,prior_0.6_signals_01111,market,5,agent_3,332254860,0.76,Signal updates prior with reliability-adjusted weight.,1,8.389907500008121,427,21
2,prior_0.3_signals_10010,central_compact,1,central_compact_analyst,2093603939,0.46,Signal increases probability from 0.3 to 0.46.,1,6.554531300091185,304,27
2,prior_0.3_signals_10010,central_compact,2,central_compact_analyst,1194035987,0.41,New signal slightly lowers probability,1,6.057215100037865,333,17
2,prior_0.3_signals_10010,central_compact,3,central_compact_analyst,1492722220,0.46,Signal increases probability from 0.41 to 0.46.,1,7.674188600038178,362,28
2,prior_0.3_signals_10010,central_compact,4,central_compact_analyst,859401182,0.42,New signal slightly lowers probability,1,7.0448195999488235,390,17
2,prior_0.3_signals_10010,central_compact,5,central_compact_analyst,627041524,0.37,New signal slightly lowers probability,1,7.716117099975236,419,17
2,prior_0.3_signals_10010,market,1,agent_4,2093603939,0.46,Signal updates prior with reliability-weighted evidence.,1,5.986471200012602,312,21
2,prior_0.3_signals_10010,market,2,agent_5,1194035987,0.34,Signal reduces probability due to reliability,1,6.2581902999663725,341,18
2,prior_0.3_signals_10010,market,3,agent_1,1492722220,0.42,Signal updates prior with reliability-adjusted weight.,1,7.12420020007994,370,21
2,prior_0.3_signals_10010,market,4,agent_2,859401182,0.36,Signal NO updates prior with reliability 0.6.,1,7.926929699955508,398,23
2,prior_0.3_signals_10010,market,5,agent_3,627041524,0.28,Signal NO updates probability downward.,1,9.298592000035569,427,18
2,prior_0.3_signals_10010,central_full,1,central_full_analyst,2093603939,0.57,Prior 0.3 updated by YES signal with reliability 0.7.,1,6.467731199925765,291,28
