condition,position,calls,weighted_local_target_mae,weighted_local_target_rmse,weighted_local_target_bias,weighted_correct_direction_rate,weighted_flat_rate
central_compact,1,160,0.06964034200632063,0.08693487658179608,0.015635375634804983,0.99559075,0.0
central_compact,2,160,0.08812942789081488,0.10590708944114134,0.008611777583078484,0.93981625,0.0318495
central_compact,3,160,0.09217870550313505,0.1104686469429056,0.006040736053635266,0.941395,0.0386895
central_compact,4,160,0.09277632973278005,0.1094155471321872,0.004159720869169933,0.97140625,0.02859375
central_compact,5,160,0.09405938945684239,0.11197583342176078,0.006491919462326867,0.9414205,0.041721749999999995
central_full,1,160,0.04661637075329883,0.06457728329377832,0.021872906759804977,1.0,0.0
central_full,2,160,0.08777581785541039,0.108086875257186,0.0296466130976623,0.9375519999999999,0.0
central_full,3,160,0.1200099228585914,0.14083207034954995,0.03261940983546111,0.94300425,0.0
central_full,4,160,0.1609652172387249,0.18584492918632975,0.0567761484384344,0.85596275,0.0
central_full,5,160,0.17740281862499999,0.20548837380337415,0.065009953625,0.824452,0.0
market,1,160,0.0574124111890979,0.07184790893313572,0.009091086259804976,0.967708,0.0
market,2,160,0.05571893103693329,0.07080240128348293,0.0045555145776357935,0.994816,0.0
market,3,160,0.06124770688439626,0.07634648122754292,0.004708396368549711,0.987445,0.006449249999999999
market,4,160,0.07270294953080671,0.0866103475377776,0.0010270143724346076,0.93305725,0.0
market,5,160,0.07434973832690735,0.08802068239419623,0.0016197054074722323,0.93307525,0.0
